0,1
"November 29, 2023

Summary of Economic Activity
Economic activity has slowed slightly since our previous report.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 0}"", role='assistant', function_call=None, tool_calls=None)"
"Labor markets remained tight, but reports of easing continued.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
An increased share of contacts reported holding wages flat.,"ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
"Prices rose moderately, though businesses continued to report consumer price sensitivity.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 1, 'investment': 0, 'labor_market': 0}"", role='assistant', function_call=None, tool_calls=None)"
"Retailers and freight transport contacts reported slowing demand, particularly for high-end goods, but hospitality and travel contacts saw steady growth.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 1, 'inflation': 0, 'investment': 0, 'labor_market': 0}"", role='assistant', function_call=None, tool_calls=None)"
"Construction activity slowed, especially for multifamily projects, many of which have been delayed or cancelled due to higher interest rates.","ChatCompletionMessage(content=""{'credit_conditions': 1, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 0}"", role='assistant', function_call=None, tool_calls=None)"
"Loan demand fell, and delinquencies ticked up above pre-pandemic rates.","ChatCompletionMessage(content=""{'credit_conditions': 1, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 0}"", role='assistant', function_call=None, tool_calls=None)"
The general outlook for the regional economy weakened slightly due to concerns about future demand.,"ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 0}"", role='assistant', function_call=None, tool_calls=None)"
"Labor Markets
Employment has remained unchanged since our previous report.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
"Labor mismatches and struggles replacing departing employees have contributed to a tight labor market, but reports of easing have continued.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
"Some contacts reported that availability of skilled workers remains a top issue, while others reported a more stable labor force for the first time in a few years.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
Staffing contacts reported clients are staying at jobs and less prone to leave than they were last year.,"ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
"Wages have continued to grow slightly since our previous report, with an increased share of contacts reporting that wages remain level.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
"A manufacturing contact in Evansville noted that hourly wages have risen only slightly, but an increase in overtime pay due to labor shortages has driven up labor costs.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
Several hiring contacts in St. Louis reported wage growth has slowed or reverted to pre-pandemic trends and fewer prospective employees have successfully negotiated for higher wages.,"ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 0, 'investment': 0, 'labor_market': 1}"", role='assistant', function_call=None, tool_calls=None)"
"Prices
Prices have increased modestly since our previous report.","ChatCompletionMessage(content=""{'credit_conditions': 0, 'household_spending': 0, 'inflation': 1, 'investment': 0, 'labor_market': 0}"", role='assistant', function_call=None, tool_calls=None)"
